,17
mean_fit_time,4.599234342575073
std_fit_time,0.1174739571152523
mean_score_time,0.1034995714823405
std_score_time,0.0074996838525633
param_subsample,0.8
param_reg_lambda,0.0
param_reg_alpha,0.1
param_n_estimators,850.0
param_min_child_weight,10.0
param_max_depth,8.0
param_learning_rate,0.05
param_gamma,0.0
param_colsample_bytree,0.7
split0_test_score,-1562888704.0
split1_test_score,-588769600.0
split2_test_score,-582180416.0
mean_test_score,-911279573.3333334
std_test_score,460765087.4451993
rank_test_score,1.0
subsample,0.8
reg_lambda,0.0
reg_alpha,0.1
n_estimators,850.0
min_child_weight,10.0
max_depth,8.0
learning_rate,0.05
gamma,0.0
colsample_bytree,0.7
MSE,911279573.3333334
RMSE,30187.407529188946
