mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
9.901044607162476,0.22361477472929522,0.09287079175313313,0.004846971140043951,0.9,0.0,0.1,450,5,11,0.01,0.1,0.7,-1659124352.0,-680282496.0,-626350848.0,-988585898.6666666,474653219.8795194,53,0.9,0.0,0.1,450,5,11,0.01,0.1,0.7
5.740314881006877,0.20555596968147927,0.09274800618489583,0.004108643516665274,1.0,0.1,10.0,400,10,12,0.05,0.3,0.7,-1610298752.0,-655916096.0,-615521984.0,-960578944.0,459717154.1660044,27,1.0,0.1,10.0,400,10,12,0.05,0.3,0.7
2.437711238861084,0.053626435568767054,0.08442378044128418,0.00910821774158225,0.7,0.1,0.0,300,10,10,0.07,0.0,0.7,-1628948736.0,-649694656.0,-626258560.0,-968300650.6666666,467246710.0935578,34,0.7,0.1,0.0,300,10,10,0.07,0.0,0.7
1.1001331806182861,0.011440965091222818,0.07573533058166504,0.008357153145320881,1.0,1.0,1.0,200,5,7,0.1,0.4,0.6,-1658321664.0,-686825856.0,-653890304.0,-999679274.6666666,465924554.2763534,63,1.0,1.0,1.0,200,5,7,0.1,0.4,0.6
1.2462754249572754,0.0062790804929749025,0.06903513272603352,0.0034209321109115263,0.8,0.1,10.0,200,1,7,0.01,0.5,0.8,-1989827200.0,-1083885824.0,-1004031168.0,-1359248064.0,447076970.6960234,97,0.8,0.1,10.0,200,1,7,0.01,0.5,0.8
39.39967362085978,0.2957124787887052,0.18057807286580405,0.0048734736197624615,0.7,1.0,0.0,850,5,15,0.01,0.5,0.6,-1613550464.0,-631606080.0,-597409600.0,-947522048.0,471160084.614348,9,0.7,1.0,0.0,850,5,15,0.01,0.5,0.6
27.38026698430379,1.0841439502913284,0.16659069061279297,0.004704011749368978,0.8,0.0,0.1,900,10,16,0.1,0.2,0.7,-1626668416.0,-703029248.0,-678278976.0,-1002658880.0,441357051.0408551,67,0.8,0.0,0.1,900,10,16,0.1,0.2,0.7
34.05756449699402,1.7106809777708574,0.15728354454040527,0.001678857466629796,0.7,1.0,10.0,600,1,14,0.05,0.1,0.7,-1626968064.0,-738469824.0,-636947776.0,-1000795221.3333334,444706647.2986952,64,0.7,1.0,10.0,600,1,14,0.05,0.1,0.7
2.7279550234476724,0.01872981372277702,0.07429798444112141,0.007898310552351724,1.0,0.1,1.0,250,5,9,0.01,0.2,0.8,-1820831488.0,-857526528.0,-776201024.0,-1151519680.0,474438040.6659266,95,1.0,0.1,1.0,250,5,9,0.01,0.2,0.8
6.543410539627075,0.1816220983451843,0.1152208646138509,0.00673640642043768,0.9,0.0,0.1,850,5,9,0.05,0.3,0.6,-1589905792.0,-616560384.0,-587198592.0,-931221589.3333334,465914289.5707533,1,0.9,0.0,0.1,850,5,9,0.05,0.3,0.6
15.21575117111206,0.8459403361422275,0.10995237032572429,0.003732530819823486,0.6,10.0,0.1,450,1,14,0.05,0.0,0.6,-1611243776.0,-624133440.0,-592833088.0,-942736768.0,472878520.56503546,5,0.6,10.0,0.1,450,1,14,0.05,0.0,0.6
2.6856162548065186,0.03818428828541325,0.08773112297058105,0.00474738682371488,0.8,1.0,0.1,550,10,8,0.05,0.5,0.6,-1595436544.0,-647448704.0,-608241664.0,-950375637.3333334,456407696.38457155,11,0.8,1.0,0.1,550,10,8,0.05,0.5,0.6
7.741287549336751,0.2124590205485691,0.10109885533650716,0.006673927317087638,0.6,0.1,0.02,600,5,11,0.1,0.5,0.6,-1650496640.0,-695915136.0,-671079552.0,-1005830442.6666666,455960583.8566316,69,0.6,0.1,0.02,600,5,11,0.1,0.5,0.6
1.319030523300171,0.039168793582758855,0.08591095606486003,0.007042374073502536,0.7,1.0,1.0,350,1,6,0.07,0.5,0.6,-1648157056.0,-720585728.0,-649031808.0,-1005924864.0,455065293.6284237,70,0.7,1.0,1.0,350,1,6,0.07,0.5,0.6
3.6229375203450522,0.08641605125084185,0.08723076184590657,0.0015590275091913015,0.6,0.0,0.1,500,10,10,0.1,0.3,0.6,-1621473152.0,-683624960.0,-673197760.0,-992765290.6666666,444583972.4219415,56,0.6,0.0,0.1,500,10,10,0.1,0.3,0.6
12.049256165822348,0.18942248167306308,0.08761016527811687,0.009317164158929902,0.8,0.0,10.0,200,5,16,0.05,0.3,0.7,-1655966208.0,-693113152.0,-616132736.0,-988404032.0,473082755.4324046,52,0.8,0.0,10.0,200,5,16,0.05,0.3,0.7
3.306223471959432,0.21935474275324665,0.08577307065327962,0.0025404545284469266,1.0,0.1,0.0,400,10,10,0.1,0.2,0.8,-1616740480.0,-657046784.0,-616244864.0,-963344042.6666666,462321228.44680274,28,1.0,0.1,0.0,400,10,10,0.1,0.2,0.8
4.084041913350423,0.03605134795834674,0.10287729899088542,0.0032484169752886247,0.8,0.0,0.1,850,10,8,0.05,0.0,0.7,-1597682560.0,-622830976.0,-601284992.0,-940599509.3333334,464711135.338712,3,0.8,0.0,0.1,850,10,8,0.05,0.0,0.7
11.575825929641724,0.4661887223683553,0.11600359280904134,0.0022809593419530253,1.0,0.1,0.02,700,10,13,0.1,0.5,0.8,-1634685312.0,-693482048.0,-654218752.0,-994128704.0,453225460.9224458,58,1.0,0.1,0.02,700,10,13,0.1,0.5,0.8
4.254808108011882,0.08944552217937879,0.11018848419189453,0.0004674929348768742,1.0,0.1,0.0,850,5,7,0.1,0.1,0.8,-1633508992.0,-650194240.0,-636098112.0,-973267114.6666666,466896974.82037824,40,1.0,0.1,0.0,850,5,7,0.1,0.1,0.8
1.489871660868327,0.03751967909438973,0.06934372584025066,0.0058729660102515395,1.0,1.0,0.1,100,10,10,0.05,0.0,0.6,-1682852992.0,-704765568.0,-667177344.0,-1018265301.3333334,470184940.62450814,77,1.0,1.0,0.1,100,10,10,0.05,0.0,0.6
33.21571660041809,0.35475441658104073,0.17398762702941895,0.016402970966716304,1.0,1.0,0.1,750,10,15,0.01,0.2,0.7,-1641618816.0,-641512192.0,-613004224.0,-965378410.6666666,478315788.58456784,30,1.0,1.0,0.1,750,10,15,0.01,0.2,0.7
16.966390371322632,0.1772353523165372,0.11314352353413899,0.005889346863227684,0.8,0.0,10.0,350,5,13,0.01,0.4,0.7,-1676402688.0,-693206976.0,-653027264.0,-1007545642.6666666,473237722.2447708,72,0.8,0.0,10.0,350,5,13,0.01,0.4,0.7
4.0258274873097735,0.08105581868771095,0.08781854311625163,0.005451605089087335,0.6,10.0,1.0,400,5,11,0.07,0.2,0.8,-1624114304.0,-633550208.0,-603245120.0,-953636544.0,474260771.8549189,15,0.6,10.0,1.0,400,5,11,0.07,0.2,0.8
36.53577454884847,1.491753380313966,0.17047754923502603,0.0015423377100842516,0.7,1.0,10.0,850,1,13,0.01,0.5,0.7,-1623917312.0,-682696704.0,-610055040.0,-972223018.6666666,461770716.4164172,39,0.7,1.0,10.0,850,1,13,0.01,0.5,0.7
12.833563089370728,0.09323843065594499,0.09542083740234375,0.005648786245853311,0.9,0.1,10.0,150,10,15,0.01,0.4,0.7,-2155639552.0,-1181598464.0,-1178580992.0,-1505273002.6666667,459880247.20436954,98,0.9,0.1,10.0,150,10,15,0.01,0.4,0.7
19.500113407770794,0.24275031243139883,0.10556451479593913,0.00262640880380172,0.9,10.0,1.0,450,10,15,0.01,0.2,0.6,-1733641856.0,-734501312.0,-689636928.0,-1052593365.3333334,481922184.7403952,86,0.9,10.0,1.0,450,10,15,0.01,0.2,0.6
64.83103227615356,1.126781834777386,0.18665234247843424,0.0066229937639771625,0.7,0.1,0.1,500,1,15,0.01,0.5,0.7,-1640182400.0,-725805696.0,-640880384.0,-1002289493.3333334,452388916.33660436,66,0.7,0.1,0.1,500,1,15,0.01,0.5,0.7
4.861843665440877,0.09302141074833399,0.08720183372497559,0.00630437200614143,1.0,0.0,0.1,100,1,12,0.1,0.4,0.7,-1696979712.0,-860482304.0,-721203200.0,-1092888405.3333333,430924894.6900463,91,1.0,0.0,0.1,100,1,12,0.1,0.4,0.7
1.178881565729777,0.0028885424788973138,0.07329432169596355,0.006898552815175416,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7,-1670919296.0,-810956416.0,-720144640.0,-1067340117.3333334,428402119.00737566,88,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7
2.816359837849935,0.135175179601839,0.07478014628092448,0.009762583768588578,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8,-1641267456.0,-685141760.0,-626032576.0,-984147264.0,465280334.1061344,49,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8
35.49243982632955,0.5943452187020383,0.17673095067342123,0.007297955232018821,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8,-1649638400.0,-648987776.0,-615527680.0,-971384618.6666666,479792342.8774898,37,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8
28.1927965482076,0.18588544639513124,0.14729722340901694,0.007911468189054114,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8,-1668901248.0,-677071808.0,-614867776.0,-986946944.0,482882725.55377084,51,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8
